nquest;area3;b19b;b19a;b16;ncomp;sex;studio;staciv;cleta5;eta;cfred
173;3;2;2;2;1;1;5;3;5;74;1
2886;3;2;2;2;2;2;6;1;5;70;1
3717;3;2;2;2;1;2;4;2;5;68;1
5416;1;2;2;2;3;2;3;3;4;64;1
7886;2;2;2;2;2;1;5;1;5;72;1
20297;1;2;2;2;2;2;3;1;2;43;1
20711;1;2;2;2;2;1;2;1;5;78;1
22099;3;2;2;2;2;1;3;1;4;64;1
22169;3;2;2;2;1;2;2;4;5;78;1
22173;3;2;2;2;3;2;5;2;3;47;1
22286;1;2;2;2;2;1;3;1;5;72;1
22624;3;2;2;2;4;2;5;2;1;25;1
22657;3;2;2;2;2;2;7;1;5;71;1
23490;1;2;2;2;1;2;5;2;5;85;1
23797;3;2;2;2;2;1;3;1;5;67;1
23821;3;2;2;2;2;2;2;4;5;86;1
23823;3;2;2;2;2;2;5;2;3;50;1
24147;1;2;2;2;2;1;7;1;5;74;1
24853;2;2;2;2;2;1;3;1;5;65;1
27238;2;2;2;2;2;1;3;1;5;70;1
27730;3;2;2;2;4;1;2;1;5;83;1
27734;3;2;2;2;2;1;2;1;5;75;1
27739;3;2;2;2;1;2;2;4;5;84;1
27742;3;2;2;2;1;2;2;4;5;90;1
27912;3;2;2;2;2;1;5;1;5;74;1
27923;3;2;2;2;3;1;5;1;5;71;1
28992;3;2;2;2;1;2;3;4;5;81;1
29140;2;2;2;2;2;1;3;1;5;73;1
29678;3;2;2;2;2;1;3;1;5;89;1
29680;3;2;2;2;3;1;3;1;4;58;1
29737;3;2;2;2;2;1;7;1;5;71;1
31093;1;2;2;2;1;1;5;3;5;68;1
31220;1;2;2;2;1;2;2;4;5;84;1
31625;1;2;2;1;1;2;7;2;5;65;1
31652;1;2;2;2;2;1;5;1;5;81;1
31695;1;2;2;2;2;1;3;1;4;58;1
31757;1;2;2;2;1;2;4;4;5;87;1
31860;3;2;2;1;2;2;5;1;4;61;1
32320;1;2;2;1;2;1;5;1;4;64;1
32471;3;2;2;2;1;2;2;4;5;77;1
32524;1;2;2;2;2;1;7;1;5;77;1
32556;1;2;2;2;1;2;3;4;5;75;1
32729;1;2;2;2;2;1;4;1;5;68;1
32734;1;2;2;1;1;1;3;3;4;57;1
32765;1;2;2;2;2;1;7;1;5;68;1
32772;1;2;2;2;2;1;3;1;5;73;1
32822;3;2;2;1;1;1;5;2;4;60;1
32839;1;2;2;2;2;1;2;1;5;77;1
32861;2;2;2;2;2;1;2;1;5;76;1
32887;1;2;2;2;2;1;5;1;4;60;1
33036;3;2;2;2;3;1;3;2;4;57;1
33038;3;2;2;2;2;1;5;1;5;65;1
33303;1;2;2;2;2;1;5;1;5;75;1
33335;2;2;2;2;2;1;5;1;4;62;1
33451;3;2;2;2;3;2;5;3;5;67;1
33479;3;2;2;2;2;2;5;2;5;88;1
33839;3;2;2;2;1;2;3;4;5;76;1
33882;1;2;2;2;2;1;3;1;5;71;1
33937;2;2;2;2;1;2;2;4;5;75;1
34252;3;2;2;2;2;2;3;4;5;73;1
34778;3;2;2;2;2;1;4;2;4;59;1
34825;1;2;2;2;2;1;3;1;5;69;1
35022;3;2;2;2;2;1;3;1;4;56;1
35234;2;2;2;2;2;1;3;1;5;83;1
35322;3;1;2;2;1;2;2;4;5;85;1
35323;3;2;2;2;2;1;2;1;5;85;1
35340;3;2;2;2;1;2;1;4;5;84;1
35372;3;2;2;2;3;2;3;1;5;67;1
35640;2;2;2;2;2;1;5;1;5;76;1
35682;1;2;2;2;2;2;5;1;5;67;1
35788;1;2;2;2;2;1;5;1;5;71;1
36130;1;2;2;2;2;1;3;1;4;59;1
36186;3;2;2;2;2;2;3;4;4;59;1
36250;3;2;2;1;1;2;3;4;4;61;1
36321;3;2;2;2;3;1;3;1;5;72;1
36333;2;2;2;2;1;2;3;4;4;64;1
36403;1;2;2;2;1;2;3;3;3;46;1
36409;1;2;2;2;1;1;4;4;5;68;1
36443;1;2;2;2;2;2;3;1;4;63;1
36697;1;2;2;2;1;2;3;3;5;69;1
36893;3;2;2;2;2;1;3;1;5;71;1
37299;3;2;2;2;2;1;3;1;5;65;1
37521;1;2;2;2;1;2;7;3;5;72;1
37810;2;2;2;2;1;2;2;2;5;72;1
38014;1;2;2;2;2;1;5;1;5;70;1
38095;1;2;2;2;2;1;3;1;4;57;1
38106;1;2;2;2;1;1;5;4;5;82;1
38316;1;2;2;2;2;1;7;1;5;65;1
38877;3;2;2;2;2;1;5;1;5;75;1
38885;3;2;2;2;2;1;4;1;5;78;1
38939;3;2;2;2;4;2;7;1;3;53;1
39056;1;2;2;2;2;1;5;1;5;66;1
39086;1;2;2;2;2;2;7;1;5;83;1
39095;1;2;2;2;1;2;5;4;4;64;1
39218;1;2;2;2;1;2;5;2;5;82;1
39227;1;2;2;2;1;1;3;1;4;57;1
39317;1;2;2;2;3;1;5;2;1;24;1
39318;1;2;2;2;2;1;3;1;4;60;1
39488;2;2;2;2;1;2;2;3;5;73;1
39697;3;2;2;2;2;1;7;1;5;74;1
50231;3;2;2;2;3;1;3;2;4;61;1
51895;1;2;2;2;2;1;2;1;5;81;1
52700;3;2;2;2;1;2;2;4;4;62;1
52718;3;2;2;2;1;2;2;4;5;66;1
52736;3;1;2;2;1;2;5;2;4;57;1
53086;1;2;2;2;1;1;5;2;5;66;1
53202;1;2;2;2;1;1;2;4;5;72;1
53234;1;2;2;2;4;1;3;1;5;76;1
53373;2;2;2;2;2;1;5;1;5;77;1
53380;2;2;2;2;2;2;2;4;5;90;1
53552;2;2;2;1;1;2;3;3;5;67;1
53564;2;2;2;2;1;2;5;2;4;59;1
53997;1;2;2;2;1;2;5;4;5;88;1
55147;2;2;2;2;2;1;2;1;5;93;1
55425;3;2;2;2;1;1;7;2;3;53;1
55636;3;2;2;2;3;2;6;1;4;64;1
55774;3;2;2;2;3;1;4;2;3;48;1
56563;2;2;2;2;2;1;2;1;5;87;1
56582;2;2;2;2;2;1;3;1;5;66;1
56603;2;2;2;2;2;1;3;1;4;58;1
56677;2;2;2;2;2;2;3;1;5;92;1
56721;2;2;2;2;2;1;3;1;5;67;1
56761;2;2;2;2;6;2;7;1;3;52;1
56762;2;2;2;2;2;1;2;1;5;79;1
57042;3;2;2;2;1;1;2;4;5;76;1
57138;3;2;2;2;1;2;7;4;5;72;1
57621;2;2;2;2;2;2;5;1;4;63;1
57670;3;2;2;2;1;2;5;3;5;69;1
57779;3;2;2;2;3;1;3;1;5;72;1
60078;3;2;2;2;3;1;3;2;1;21;1
91071;1;2;2;1;4;2;5;1;3;52;1
91079;2;2;2;2;3;2;5;1;4;59;1
91081;2;2;2;1;3;2;7;1;3;53;1
91095;2;2;2;2;3;1;5;1;4;62;1
111052;3;2;2;2;2;2;2;1;5;81;1
178001;2;2;2;2;1;1;3;4;5;75;1
213440;1;2;2;2;2;1;5;1;5;75;1
224048;1;2;2;2;1;2;2;4;5;88;1
230029;1;2;2;2;2;1;3;1;5;79;1
230037;1;2;2;2;2;2;7;1;5;74;1
237003;3;2;2;2;2;2;7;1;5;78;1
244013;3;2;2;2;2;1;2;1;5;76;1
244058;3;2;2;2;3;1;3;1;4;58;1
250010;3;2;2;2;1;2;2;4;5;76;1
250039;3;2;2;2;1;2;2;4;5;71;1
282083;3;2;2;2;1;2;3;4;5;82;1
310002;3;2;2;2;2;1;2;1;5;84;1
310005;3;2;2;2;1;2;3;4;5;75;1
321009;1;2;2;2;2;1;2;1;5;89;1
333081;1;2;2;2;1;1;7;4;5;87;1
387029;1;2;2;2;2;1;5;1;5;77;1
500090;1;2;2;2;2;1;2;1;5;90;1
500176;1;2;2;2;3;1;2;1;5;75;1
500669;1;2;2;2;2;1;5;1;4;58;1
500674;1;2;2;2;1;2;5;4;5;83;1
501082;1;2;2;2;2;1;3;1;5;67;1
501694;1;2;2;2;2;2;3;1;5;65;1
502060;1;2;2;2;1;1;5;2;4;64;1
502355;1;2;2;2;2;1;3;1;4;61;1
502364;1;2;2;2;1;2;2;4;5;89;1
503560;1;2;2;2;2;1;5;1;5;68;1
503561;1;2;2;2;2;1;5;1;5;75;1
503593;1;2;2;2;1;1;5;1;5;70;1
503674;1;2;2;2;2;1;7;1;5;74;1
503931;1;2;2;2;2;1;5;1;5;75;1
504157;1;2;2;2;1;1;5;2;4;62;1
504363;1;1;2;2;1;1;3;4;5;78;1
504395;1;2;2;2;3;1;3;2;4;57;1
504453;1;2;2;1;2;2;5;1;4;55;1
504584;1;2;2;2;1;2;2;4;5;65;1
504730;1;2;2;2;3;1;8;2;2;42;1
504792;1;2;2;2;2;1;5;1;5;75;1
504921;1;2;2;1;2;1;5;1;4;55;1
505022;1;2;2;2;2;1;2;1;5;69;1
505228;1;2;2;2;1;2;5;4;5;69;1
505517;1;2;2;2;2;2;5;1;5;80;1
505525;1;2;2;2;4;2;5;3;3;49;1
505534;1;2;2;2;2;1;4;1;5;72;1
505594;1;2;2;2;2;2;3;1;5;68;1
505606;1;2;2;2;2;2;5;4;5;71;1
505681;1;2;2;2;1;2;2;4;5;84;1
505806;1;2;2;2;1;1;2;2;5;66;1
505818;1;2;2;2;3;1;5;1;4;62;1
505839;1;2;2;1;3;2;6;1;3;52;1
506107;1;2;2;2;2;2;4;1;4;60;1
506112;1;2;2;2;1;2;1;4;5;90;1
506402;2;2;2;2;1;2;2;4;5;74;1
506418;2;2;2;2;1;2;2;4;5;82;1
506565;2;2;2;2;2;2;7;1;5;71;1
506628;1;2;2;1;4;1;8;1;2;37;1
506736;2;2;2;2;2;2;7;1;5;81;1
506738;2;2;2;2;3;1;3;1;4;57;1
506799;2;2;2;2;2;2;3;1;5;82;1
507182;2;2;2;2;2;1;3;1;5;83;1
507282;2;2;2;2;5;1;3;1;4;61;1
507303;2;2;2;2;2;1;2;1;5;72;1
507316;2;2;2;2;2;1;3;1;5;84;1
507319;2;2;2;2;1;1;2;2;5;84;1
507336;2;2;2;2;2;2;3;1;5;69;1
507419;2;2;2;2;2;1;4;1;5;73;1
507444;2;2;2;1;1;2;4;4;4;58;1
507640;2;2;2;2;1;2;3;4;5;78;1
507728;2;2;2;2;2;1;5;1;5;72;1
507905;2;2;2;2;2;1;2;1;5;71;1
507908;2;2;2;2;1;2;4;4;4;62;1
507913;2;2;2;2;3;2;5;4;5;68;1
507924;2;2;2;2;2;1;2;4;5;79;1
508861;2;2;2;2;1;2;3;4;5;70;1
509054;3;2;2;2;2;1;2;1;5;85;1
509057;3;2;2;2;2;1;4;1;5;71;1
509071;3;2;2;2;2;1;3;1;5;79;1
509550;3;2;2;2;1;2;7;4;5;73;1
509601;3;2;2;2;3;1;3;1;4;58;1
509689;3;2;2;2;2;1;3;1;5;66;1
509806;3;2;2;2;3;1;5;2;1;30;1
509869;3;2;2;2;2;1;3;1;5;80;1
510109;3;2;2;2;1;2;2;4;5;80;1
510329;3;2;2;2;3;1;3;2;1;24;1
510345;3;2;2;2;3;1;3;1;3;52;1
510433;3;2;2;2;2;2;2;1;5;66;1
511074;3;2;2;2;1;2;2;4;5;80;1
511136;3;2;2;2;2;1;3;1;5;66;1
511160;3;2;2;2;2;1;3;1;5;78;1
511260;3;2;2;2;1;1;7;2;5;74;1
511352;3;2;2;1;2;2;3;2;1;32;1
511424;3;2;2;2;2;1;2;1;5;81;1
511474;3;2;2;2;3;2;5;4;4;59;1
511494;3;2;2;2;1;1;2;4;5;86;1
511495;3;2;2;2;2;1;2;1;5;71;1
511501;3;2;2;2;1;2;2;4;5;81;1
511629;3;2;2;2;2;1;5;1;5;76;1
511757;3;2;2;2;3;1;2;1;5;72;1
512211;3;2;2;2;1;2;1;4;5;67;1
512368;3;2;2;2;3;1;2;1;5;76;1
512372;3;2;2;2;1;2;1;4;5;82;1
512452;3;2;2;2;4;1;5;1;3;53;1
512457;3;2;2;2;3;1;7;2;3;54;1
512517;3;2;2;1;2;2;5;1;4;63;1
512784;3;2;2;2;5;1;5;1;4;59;1
512843;3;2;2;2;4;1;3;1;4;63;1
512887;3;2;2;2;2;1;4;1;4;56;1
